Sentence #,Word,Tag
Sentence: 0,steve,B-Actor
Sentence: 0,mcqueen,I-Actor
Sentence: 0,provided,O
Sentence: 0,a,O
Sentence: 0,thrilling,B-Plot
Sentence: 0,motorcycle,I-Plot
Sentence: 0,chase,I-Plot
Sentence: 0,in,I-Plot
Sentence: 0,this,I-Plot
Sentence: 0,greatest,B-Opinion
Sentence: 0,of,I-Opinion
Sentence: 0,all,I-Opinion
Sentence: 0,ww,B-Plot
Sentence: 0,2,I-Plot
Sentence: 0,prison,I-Plot
Sentence: 0,escape,I-Plot
Sentence: 0,movies,I-Plot
Sentence: 1,liza,B-Actor
Sentence: 1,minnelli,I-Actor
Sentence: 1,and,O
Sentence: 1,joel,B-Actor
Sentence: 1,gray,I-Actor
Sentence: 1,won,B-Award
Sentence: 1,oscars,I-Award
Sentence: 1,for,O
Sentence: 1,their,O
Sentence: 1,roles,O
Sentence: 1,in,O
Sentence: 1,this,O
Sentence: 1,1972,B-Year
Sentence: 1,movie,O
Sentence: 1,that,B-Plot
Sentence: 1,follows,I-Plot
Sentence: 1,nightclub,I-Plot
Sentence: 1,entertainers,I-Plot
Sentence: 1,in,I-Plot
Sentence: 1,berlin,I-Plot
Sentence: 1,as,I-Plot
Sentence: 1,the,I-Plot
Sentence: 1,nazis,I-Plot
Sentence: 1,come,I-Plot
Sentence: 1,to,I-Plot
Sentence: 1,power,I-Plot
Sentence: 2,what,O
Sentence: 2,is,O
Sentence: 2,that,O
Sentence: 2,tom,B-Actor
Sentence: 2,hanks,I-Actor
Sentence: 2,and,O
Sentence: 2,julia,B-Actor
Sentence: 2,roberts,I-Actor
Sentence: 2,movie,O
Sentence: 2,about,O
Sentence: 2,hanks,B-Plot
Sentence: 2,who,I-Plot
Sentence: 2,plays,I-Plot
Sentence: 2,a,I-Plot
Sentence: 2,down,I-Plot
Sentence: 2,on,I-Plot
Sentence: 2,his,I-Plot
Sentence: 2,luck,I-Plot
Sentence: 2,average,I-Plot
Sentence: 2,guy,I-Plot
Sentence: 2,who,I-Plot
Sentence: 2,goes,I-Plot
Sentence: 2,back,I-Plot
Sentence: 2,to,I-Plot
Sentence: 2,college,I-Plot
Sentence: 2,and,I-Plot
Sentence: 2,gets,I-Plot
Sentence: 2,taught,I-Plot
Sentence: 2,by,I-Plot
Sentence: 2,roberts,I-Plot
Sentence: 3,what,O
Sentence: 3,is,O
Sentence: 3,the,O
Sentence: 3,movie,O
Sentence: 3,making,B-Plot
Sentence: 3,fun,I-Plot
Sentence: 3,of,I-Plot
Sentence: 3,macgyver,I-Plot
Sentence: 3,by,I-Plot
Sentence: 3,re,I-Plot
Sentence: 3,enacting,I-Plot
Sentence: 3,scenes,I-Plot
Sentence: 3,similar,I-Plot
Sentence: 3,to,I-Plot
Sentence: 3,his,I-Plot
Sentence: 3,movies,I-Plot
Sentence: 4,i,O
Sentence: 4,am,O
Sentence: 4,thinking,O
Sentence: 4,of,O
Sentence: 4,an,O
Sentence: 4,animated,B-Genre
Sentence: 4,film,O
Sentence: 4,based,B-Origin
Sentence: 4,on,I-Origin
Sentence: 4,a,I-Origin
Sentence: 4,classic,I-Origin
Sentence: 4,theodor,I-Origin
Sentence: 4,geisel,I-Origin
Sentence: 4,children,I-Origin
Sentence: 4,s,I-Origin
Sentence: 4,novel,I-Origin
Sentence: 4,about,O
Sentence: 4,a,B-Plot
Sentence: 4,young,I-Plot
Sentence: 4,boy,I-Plot
Sentence: 4,s,I-Plot
Sentence: 4,quest,I-Plot
Sentence: 4,to,I-Plot
Sentence: 4,save,I-Plot
Sentence: 4,the,I-Plot
Sentence: 4,trees,I-Plot
Sentence: 5,what,O
Sentence: 5,1981,B-Year
Sentence: 5,feature,O
Sentence: 5,film,O
Sentence: 5,starring,O
Sentence: 5,mel,B-Actor
Sentence: 5,gibson,I-Actor
Sentence: 5,takes,B-Plot
Sentence: 5,place,I-Plot
Sentence: 5,in,I-Plot
Sentence: 5,a,I-Plot
Sentence: 5,post,I-Plot
Sentence: 5,apocalyptic,I-Plot
Sentence: 5,world,I-Plot
Sentence: 5,in,I-Plot
Sentence: 5,australia,I-Plot
Sentence: 6,this,O
Sentence: 6,steven,B-Director
Sentence: 6,speilberg,I-Director
Sentence: 6,supernatural,B-Genre
Sentence: 6,story,O
Sentence: 6,of,O
Sentence: 6,a,O
Sentence: 6,haunted,B-Plot
Sentence: 6,house,I-Plot
Sentence: 6,made,O
Sentence: 6,many,O
Sentence: 6,filmgoers,O
